id,label,sentence,color
情報I_0,情報社会の問題解決,情報社会における問題解決の方法とそのための知識を学ぶ科目。,#A0D8EF
情報I_1,情報の成り立ち,情報がどのように生成され、伝達されるかについて学ぶ。,#A0D8EF
情報I_2,情報の代表的な特性,情報の特性として、正確性、信頼性、可用性などがある。,#A0D8EF
情報I_3,問題解決の流れ,問題を特定し、解決策を考え、実行し、評価するプロセス。,#A0D8EF
情報I_4,情報の可視化,データを視覚的に表現することで、理解しやすくする技術。,#A0D8EF
情報I_5,サイバー犯罪の類型,サイバー犯罪には、ハッキング、フィッシング、マルウェアなどがある。,#A0D8EF
情報I_6,サイバー犯罪の特徴,サイバー犯罪は匿名性が高く、国境を越えて行われることが多い。,#A0D8EF
情報I_7,情報セキュリティの3要素,情報セキュリティの基本要素は、機密性、完全性、可用性。,#A0D8EF
情報I_8,安全なパスワード,強力なパスワードは長く、複雑で、定期的に変更することが推奨される。,#A0D8EF
情報I_9,生体認証,指紋や顔認証など、生体情報を用いた認証技術。,#A0D8EF
情報I_10,ファイアウォール,ネットワークのセキュリティを保護するための防御システム。,#A0D8EF
情報I_11,標的型メール攻撃,特定の個人や組織を狙ったフィッシングメール攻撃。,#A0D8EF
情報I_12,ソーシャルエンジニアリング,人間の心理的な弱点を突いて情報を盗む手法。,#A0D8EF
情報I_13,知的財産権,創作物に対する権利で、著作権や特許権などが含まれる。,#A0D8EF
情報I_14,産業財産権,特許権、実用新案権、意匠権、商標権など、産業に関する権利。,#A0D8EF
情報I_15,個人情報の定義,特定の個人を識別できる情報。,#A0D8EF
情報I_16,匿名加工情報,個人を特定できないように加工された情報。,#A0D8EF
情報I_17,情報格差,情報へのアクセスや利用能力の差が生む社会的な格差。,#A0D8EF
情報I_18,SNS,ソーシャルネットワーキングサービス、オンラインでの交流を促進するプラットフォーム。,#A0D8EF
情報I_19,キャッシュレス決済,現金を使わずに電子的な方法で行う支払い。,#A0D8EF
情報I_20,人工知能,機械が人間の知能を模倣する技術。,#A0D8EF
情報I_21,ユニバーサルデザイン,すべての人が利用しやすいデザイン。,#A0D8EF
